Name:,Earth9-81-2,,,,
Gravity:,9.81m/s^2,,,,
POINTS,TIME (s),X VELOCITY (m/s),Y VELOCITY (m/s),X POSITION (m),Y POSITION (m)
P0,0,0.1,0,0,0
,0.05,10,1.73,0.667,0.0721
,0.1,10,3.03,1.17,0.202
,0.15,10,4.33,1.67,0.397
,0.2,10,5.62,2.17,0.656
,0.25,10,6.92,2.67,0.981
,0.3,10,8.22,3.17,1.37
,0.35,10,9.52,3.67,1.82
,0.4,10,10.8,4.17,2.34
,0.45,10,12.1,4.67,2.93
,0.5,10,13.4,5.17,3.58
,0.55,10,14.7,5.67,4.29
,0.6,10,16,6.17,5.07
,0.65,10,17.3,6.67,5.91
,0.7,10,18.6,7.17,6.82
,0.75,10,19.9,7.67,7.8
,0.8,10,21.2,8.17,8.83
,0.85,10,22.5,8.67,9.94
,0.9,-5,23.8,8.92,11.1
,0.95,-5,25.1,8.67,12.3
,1,-5,26.4,8.42,13.6
,1.05,-5,27.7,8.17,15
,1.1,-5,29,7.92,16.4
,1.15,-5,30.3,7.67,17.9
,1.2,-5,31.6,7.42,19.5
,1.25,-5,32.9,7.17,21.1
,1.3,-5,34.2,6.92,22.8
,1.35,-5,35.5,6.67,24.5
,1.4,-5,36.8,6.42,26.4
,1.45,-5,38.1,6.17,28.2
,1.5,-5,39.4,5.92,30.2
,1.55,-5,40.7,5.67,32.2
,1.6,-5,42,5.42,34.3
,1.65,-5,43.3,5.17,36.4
,1.7,-5,44.6,4.92,38.6
,1.75,-5,45.9,4.67,40.9
,1.8,-5,47.2,4.42,43.2
,1.85,-5,48.4,4.17,45.6
,1.9,-5,49.7,3.92,48.1
,1.95,-5,51,3.67,50.6
,2,-5,52.3,3.42,53.2
,2.05,-5,53.6,3.17,55.9
,2.1,-5,54.9,2.92,58.6
,2.15,-5,56.2,2.67,61.4
,2.2,-5,57.5,2.42,64.3
,2.25,-5,58.8,2.17,67.2
,2.3,-5,60.1,1.92,70.2
,2.35,-5,61.4,1.67,73.2
,2.4,-5,62.7,1.42,76.3
,2.45,-5,64,1.17,79.5
,2.5,-5,65.3,0.915,82.8
,,,,,
,,,,,
Name:,Jupiter25-95-8,,,,
Gravity:,25.95m/s^2,,,,
COR:,0.8,,,,
POINTS,TIME (s),X VELOCITY (m/s),Y VELOCITY (m/s),X POSITION (m),Y POSITION (m)
P0,0,0.1,0,0,0
,0.05,10,1.73,0.667,0.0721
,0.1,10,3.03,1.17,0.202
,0.15,10,4.33,1.67,0.397
,0.2,10,5.62,2.17,0.656
,0.25,10,6.92,2.67,0.981
,0.3,10,8.22,3.17,1.37
